,Park Name,Street Address,City,State,ZIP,Phone Number,Website,Total Lots,Rent Range,Pet Policy,Amenities,Latitude,Longitude,Source Website URL,Listing Price
48,Sunkist Gardens Mobile Home Park,1400 South Sunkist Street,Anaheim,CA,92806,N/A,https://www.mhvillage.com/,N/A,1200,"Pets Allowed: Yes
Pet Restrictions: Management Approval","Spa
Horseshoes
Bocce Ball
Billiard Room
Library
Laundry Facilities
Fitness Center
Boat/RV Storage
WiFi",33.81338,-117.87883,https://www.mhvillage.com/parks/4573,N/A
49,Pacific Sunset,211 South Beach Boulevard,Anaheim,CA,92804,N/A,https://www.mhvillage.com/,N/A,1400,"Pets Allowed: Yes
Pet Restrictions: Two small pets",WiFi,33.81042,-117.97942,https://www.mhvillage.com/parks/3898,N/A
50,Casa Hermosa,525 North Gilbert Street,Anaheim,CA,92801,N/A,https://www.mhvillage.com/,N/A,950,"Pets Allowed: Yes
Pet Restrictions: 15 lbs or under",WiFi,33.84778,-117.95729,https://www.mhvillage.com/parks/2631,N/A
51,Del Prado Anaheim,1616 E Euclid St,Anaheim,CA,92802,N/A,https://www.mhvillage.com/,N/A,N/A,"Pets Allowed: Yes
Pet Restrictions: See Park Manager for Restrictions","Spa
Basketball Court
Billiard Room
Laundry Facilities
Boat/RV Storage
WiFi",33.8107,-117.91684,https://www.mhvillage.com/parks/5034,N/A
52,Rio Vista Mobile Estates,320 North Park Vista Street,Anaheim,CA,92806,N/A,https://www.mhvillage.com/,N/A,2350,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,33.83099,-117.86681,https://www.mhvillage.com/parks/28425,N/A
53,Anaheim Shores Estates,1919 West Coronet Avenue,Anaheim,CA,92801,N/A,https://www.mhvillage.com/,N/A,1260,"Pets Allowed: Yes
Pet Restrictions: Community Approval","Spa
Billiard Room
Library
WiFi",33.84778,-117.95729,https://www.mhvillage.com/parks/5209,N/A
54,Friendly Village,5815 East La Palma Avenue,Anaheim,CA,92807,N/A,https://www.mhvillage.com/,N/A,1616,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,33.85117,-117.78838,https://www.mhvillage.com/parks/2532,N/A
55,Gold Crest Mobile Home Park,10770 Katella Avenue,Anaheim,CA,92804,N/A,https://www.mhvillage.com/,N/A,1100,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,33.81042,-117.97942,https://www.mhvillage.com/parks/5080,N/A
56,Anaheim Royal MHP,1250 N State College Blvd,Anaheim,CA,92806,N/A,https://www.mhvillage.com/,N/A,1050,"Pets Allowed: Yes
Pet Restrictions: 20 lbs or less",WiFi,33.83099,-117.86681,https://www.mhvillage.com/parks/2304,N/A
57,Cherokee Senior Mobile Home Park,235 South Beach Boulevard,Anaheim,CA,92804,N/A,https://www.mhvillage.com/,N/A,294,"Pets Allowed: Yes
Pet Restrictions: 1 dog 2 cats, 25 lbs or less",WiFi,33.81042,-117.97942,https://www.mhvillage.com/parks/2673,N/A
58,Del Este Mobile Estates,1241 North East Street,Anaheim,CA,92805,N/A,https://www.mhvillage.com/,N/A,1350,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,33.85168,-117.9077,https://www.mhvillage.com/parks/2848,N/A
59,Del Ray Mobile Home Park,1949 South Manchester Avenue,Anaheim,CA,92802,N/A,https://www.mhvillage.com/,N/A,1200,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,33.8107,-117.91684,https://www.mhvillage.com/parks/2855,N/A
60,Golden Skies Mobile Home Park,100 West Midway Drive,Anaheim,CA,92805,N/A,https://www.mhvillage.com/,N/A,1150,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,33.82635,-117.91045,https://www.mhvillage.com/parks/3140,N/A
61,Midway Village,250 W. Midway Dr.,Anaheim,CA,92805,N/A,https://www.mhvillage.com/,N/A,700,"Pets Allowed: Yes
Pet Restrictions: 1 dog & 1 cat",WiFi,33.8123,-117.91105,https://www.mhvillage.com/parks/97723,N/A
62,Palm Lodge Mobile Home Estates,2627 East La Palma Avenue,Anaheim,CA,92806,N/A,https://www.mhvillage.com/,N/A,N/A,"Pets Allowed: Yes
Pet Restrictions: 1 Pet per Household","Laundry Facilities
Restrooms
Dog Park
WiFi: For Purchase
BBQ Area",33.83099,-117.86681,https://www.mhvillage.com/parks/3915,N/A
63,Ponderosa,2300 South Lewis Street,Anaheim,CA,92802,N/A,https://www.mhvillage.com/,N/A,1121,"Pets Allowed: Yes
Pet Restrictions: 2 pets 40lbs or less",WiFi,33.79162,-117.89712,https://www.mhvillage.com/parks/5125,N/A
64,Rancho La Palmas,825 W. La Palma Avenue,Anaheim,CA,92801,N/A,https://www.mhvillage.com/,N/A,780,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,33.84778,-117.95729,https://www.mhvillage.com/parks/99465,N/A
